line_density,shape_complexity,colorfulness,texture_roughness,brightness,contrast,symmetry,warmth_ratio,proportion_of_space,edge_density
0.12093103448275862,1,19.77750191815571,80.40176612586971,201.67881379310344,80.40176612586971,0.3931494252873563,0.8501862068965518,0.763551724137931,0.12093103448275862
0.10439466293181159,1,18.9424673936511,60.15452563862784,220.000402291572,60.15452563862784,0.40584145752775663,0.8179183646102615,0.881897624244772,0.10439466293181159
0.10743963497026626,1,35.562623432915544,76.22300242426971,210.5021769924213,76.22300242426971,0.35002114865542516,0.8054676127499298,0.8042142917757339,0.10743963497026626
0.14236006259093528,1,32.07553385336564,71.6002014046782,212.23476404864525,71.6002014046782,0.335680622031505,0.8755318856891866,0.8192686743349713,0.14236006259093528
0.113,1,22.31641614312232,91.9745765873872,186.24648666666667,91.9745765873872,0.19248888888888888,0.7784866666666667,0.7001333333333334,0.113
0.12135820895522388,1,17.66429515650948,81.93822921342189,197.46557462686567,81.93822921342189,0.35288059701492536,0.7895298507462687,0.7506641791044776,0.12135820895522388
0.17273722627737226,1,28.033301656515878,73.20511700636365,199.8404306569343,73.20511700636365,0.22106082725060827,0.8677737226277372,0.7592773722627737,0.17273722627737226
0.0945813195017486,1,20.432614310980906,55.78512792520543,224.47518566544855,55.78512792520543,0.40006299708638476,0.7305905929506071,0.9016228535502377,0.0945813195017486
0.1927615894039735,1,47.26503037136216,68.68724770391793,208.25505298013246,68.68724770391793,0.21486975717439294,0.8592119205298013,0.810841059602649,0.1927615894039735
0.16532040189594205,1,35.003547594259004,81.16204482746609,197.14606003816507,81.16204482746609,0.28592641327539964,0.8815309800488349,0.725225194416136,0.16532040189594205
0.08504918032786886,1,15.877874336435978,64.2435671793002,220.2863524590164,64.2435671793002,0.5113333333333333,0.7784016393442623,0.8763032786885246,0.08504918032786886
0.09149664642939015,1,11.977240897924656,71.92294377094878,211.93820852036177,71.92294377094878,0.35519692546323056,0.784358384666011,0.825022739205348,0.09149664642939015
0.12128224703375004,1,22.209166203826737,67.5916945238164,208.18530712218086,67.5916945238164,0.3549967064023289,0.7754238636002163,0.8229633870916436,0.12128224703375004
0.1203042071197411,1,35.49589226180414,64.77487532404008,217.7196699029126,64.77487532404008,0.4027011866235167,0.8462653721682848,0.8568802588996763,0.1203042071197411
0.10050950570342206,1,18.652213853748535,68.91902611167387,214.4403802281369,68.91902611167387,0.45275031685678074,0.7889125475285171,0.8347984790874524,0.10050950570342206
0.12878030303030302,1,18.39639184575283,57.352929524427246,222.0186515151515,57.352929524427246,0.390979797979798,0.7770454545454546,0.893969696969697,0.12878030303030302
0.084390625,1,10.987340649671177,78.44189622059474,204.7627109375,78.44189622059474,0.39941145833333336,0.7865390625,0.7751796875,0.084390625
0.09950889679715302,1,16.01087873799729,72.75964410616294,210.24226334519574,72.75964410616294,0.4280284697508897,0.8307900355871886,0.8061708185053381,0.09950889679715302
0.13591546729823284,1,24.01588977703386,76.4314144368821,202.89204591000183,76.4314144368821,0.2965364488256054,0.7207870286026599,0.7820222262707233,0.13591546729823284
